2020-03-25 19:37:20,615 [AUDIT] Token created by 'anonymous': tokenId='5c8a6e59-50c0-48ce-adf9-a8b066090387', issuer='jfmd@01e49j7a9f9sx346488s7y6rc7', subject='jfmd@01e49j7a9f9sx346488s7y6rc7', expiry=none, refreshable=false
2020-03-25 19:37:20,645 [AUDIT] Token revoked by 'anonymous': tokenId='debfb760-48f1-4986-8812-bb99193231b5', issuer='jfmd@01e49j7a9f9sx346488s7y6rc7', subject='jfmd@01e49j7a9f9sx346488s7y6rc7', expiry=none, refreshable=false
2020-03-25 19:37:22,470 [AUDIT] Token created by 'anonymous': tokenId='54f58bd4-f47e-4266-94ac-35ca1dffb41b', issuer='jfrt@01e49j7nt5qc6w0satw40506g3', subject='jfrt@01e49j7nt5qc6w0satw40506g3', expiry=none, refreshable=false
2020-03-25 19:37:22,480 [AUDIT] Token revoked by 'anonymous': tokenId='b6a95f58-a751-4b66-ad97-ce4a9ecb071f', issuer='jfrt@01e49j7nt5qc6w0satw40506g3', subject='jfrt@01e49j7nt5qc6w0satw40506g3', expiry=none, refreshable=false
2020-03-25 19:37:24,836 [AUDIT] Token created by 'jfrt@01e49j7nt5qc6w0satw40506g3': tokenId='347fc069-4fda-468a-8c2d-14ebbfc0a641', issuer='jfrt@01e49j7nt5qc6w0satw40506g3', subject='jfrt@01e49j7nt5qc6w0satw40506g3', expiry=2531245044830, refreshable=false
2020-03-25 19:37:25,133 [AUDIT] Token created by 'anonymous': tokenId='93927400-5664-45b6-94c8-f4c1b4c4a779', issuer='jfac@01e49j73ccnr7c17gd5ayt0916', subject='jfac@01e49j73ccnr7c17gd5ayt0916', expiry=1585165165131, refreshable=false
2020-03-25 19:37:30,682 [AUDIT] Token created by 'anonymous': tokenId='e7dd1e7c-e616-47f9-8aaf-483976c89a7e', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-03-25 19:37:30,691 [AUDIT] Token revoked by 'anonymous': tokenId='b6e104dc-1e9d-49eb-a91e-ff22705e6e48', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-03-25 19:37:30,739 [AUDIT] Token created by 'jffe@000': tokenId='2e270047-4136-4edc-8a22-3658152c0c6f', issuer='jffe@000', subject='jffe@000', expiry=1585165650736, refreshable=false
2020-03-25 19:47:33,166 [AUDIT] Token created by 'jffe@000': tokenId='933864f2-4335-4708-88d8-85f3c3cb6df7', issuer='jffe@000', subject='jffe@000', expiry=1585166253161, refreshable=false
2020-03-25 19:47:33,168 [AUDIT] Token created by 'jffe@000': tokenId='6933d585-143e-422d-93ac-7f4aab05ff12', issuer='jffe@000', subject='jffe@000', expiry=1585166253163, refreshable=false
2020-03-25 19:47:33,168 [AUDIT] Token created by 'jffe@000': tokenId='dcfdccd5-2b81-4b00-aaea-8ae0c49047ad', issuer='jffe@000', subject='jffe@000', expiry=1585166253163, refreshable=false
2020-03-25 19:47:33,168 [AUDIT] Token created by 'jffe@000': tokenId='35cfc792-0a93-4e6a-9ad3-11000a6331e3', issuer='jffe@000', subject='jffe@000', expiry=1585166253163, refreshable=false
2020-03-25 19:57:33,258 [AUDIT] Token created by 'jffe@000': tokenId='11a8b3e4-da7c-42bc-ba91-2dcb1f18ec8c', issuer='jffe@000', subject='jffe@000', expiry=1585166853254, refreshable=false
2020-03-25 19:57:33,260 [AUDIT] Token created by 'jffe@000': tokenId='14a7e35d-9696-462d-abb5-363505337691', issuer='jffe@000', subject='jffe@000', expiry=1585166853257, refreshable=false
2020-03-25 19:57:33,271 [AUDIT] Token created by 'jffe@000': tokenId='8f28cb3c-caf3-4616-8580-0c4455b46581', issuer='jffe@000', subject='jffe@000', expiry=1585166853257, refreshable=false
2020-03-25 19:57:33,272 [AUDIT] Token created by 'jffe@000': tokenId='e496471d-f51f-448d-9ebb-91cbfbd26452', issuer='jffe@000', subject='jffe@000', expiry=1585166853258, refreshable=false
2020-03-25 20:07:33,419 [AUDIT] Token created by 'jffe@000': tokenId='ad62f1d9-6120-49db-b74f-94d8fd5647e9', issuer='jffe@000', subject='jffe@000', expiry=1585167453417, refreshable=false
2020-03-25 20:07:33,422 [AUDIT] Token created by 'jffe@000': tokenId='62fcd3e9-6484-4a09-90eb-3a7f76aa56e6', issuer='jffe@000', subject='jffe@000', expiry=1585167453417, refreshable=false
2020-03-25 20:07:33,427 [AUDIT] Token created by 'jffe@000': tokenId='baeb98f2-0444-4101-80a3-4726d0bb2789', issuer='jffe@000', subject='jffe@000', expiry=1585167453419, refreshable=false
